week,actual,ARIMA,SARIMA,LSTM,ARIMA-LSTM
118,1800.0,1792.4,1995.2,1943.0,1869.3
119,2100.0,1714.3,1860.2,1954.7,1837.1
120,1750.0,1692.8,1785.2,1962.8,1830.7
121,2200.0,1831.3,1952.1,1975.0,1904.7
122,1950.0,1870.5,1993.2,1986.3,1929.7
123,1650.0,1814.4,1996.2,1980.1,1899.0
124,2050.0,1759.5,1918.4,1985.4,1874.9
125,1800.0,1815.1,1968.4,2000.2,1909.7
126,2300.0,1887.9,2069.8,2004.2,1947.3
127,1700.0,1888.9,2162.9,2007.1,1949.2
128,2100.0,1841.6,2006.0,2009.5,1927.4
129,1900.0,1842.6,2020.3,2011.7,1929.0
130,2000.0,1896.6,2136.9,2013.4,1956.2
